sl_no,state,start_date,physical_progress,report_month
1145,Jharkhand,"03/2023
10/2024",25.0,FlashReport_February 2026
1146,Jharkhand,"02/2024
01/2026",0.0,FlashReport_February 2026
1147,Jharkhand,"02/2017
11/2019",98.0,FlashReport_February 2026
1148,Jharkhand,"03/2022
05/2023",99.0,FlashReport_February 2026
1149,Jharkhand,"03/2018
12/2021",91.0,FlashReport_February 2026
1150,Jharkhand,"09/2022
12/2023",78.0,FlashReport_February 2026
1151,Jharkhand,"11/2024
01/2026",0.0,FlashReport_February 2026
1152,Jharkhand,"03/2023
01/2026",0.0,FlashReport_February 2026
1153,Karnataka,"08/2020
06/2021",52.0,FlashReport_February 2026
1154,Karnataka,"11/2022
07/2025",0.0,FlashReport_February 2026
1155,Karnataka,"03/2022
02/2023",86.0,FlashReport_February 2026
1156,Karnataka,"03/2022
03/2023",72.0,FlashReport_February 2026
1157,Karnataka,"03/2019
05/2019",68.0,FlashReport_February 2026
1158,Karnataka,"03/2022
02/2023",75.0,FlashReport_February 2026
1159,Karnataka,"03/2023
09/2024",25.0,FlashReport_February 2026
1160,Karnataka,"03/2022
08/2022",92.0,FlashReport_February 2026
1161,Karnataka,"02/2023
03/2024",65.0,FlashReport_February 2026
1162,Karnataka,"02/2023
06/2025",20.0,FlashReport_February 2026
1163,Karnataka,"01/2022
01/2023",78.0,FlashReport_February 2026
1164,Karnataka,"02/2022
11/2022",0.0,FlashReport_February 2026
1165,Karnataka,"01/2021
12/2021",75.0,FlashReport_February 2026
1166,Karnataka,"03/2023
07/2025",10.0,FlashReport_February 2026
1167,Karnataka,"03/2022
01/2023",93.0,FlashReport_February 2026
1168,Karnataka,"02/2023
09/2024",30.0,FlashReport_February 2026
1169,Karnataka,"01/2022
12/2022",76.0,FlashReport_February 2026
1170,Karnataka,"03/2019
12/2019",0.0,FlashReport_February 2026
1171,Karnataka,"01/2023
03/2024",24.0,FlashReport_February 2026
1172,Karnataka,"02/2023
01/2025",16.0,FlashReport_February 2026
1173,Karnataka,"01/2023
02/2024",42.0,FlashReport_February 2026
1174,Karnataka,"12/2022
08/2025",0.0,FlashReport_February 2026
1175,Karnataka,"01/2024
11/2025",0.0,FlashReport_February 2026
1176,Karnataka,"12/2021
03/2023",80.0,FlashReport_February 2026
1177,Karnataka,"NA
01/2018",98.0,FlashReport_February 2026
1178,Karnataka,"08/2020
04/2021",99.0,FlashReport_February 2026
1179,Karnataka,"02/2022
12/2022",71.0,FlashReport_February 2026
1180,Karnataka,"03/2023
11/2024",40.0,FlashReport_February 2026
1181,Karnataka,"01/2024
04/2025",11.0,FlashReport_February 2026
1182,Karnataka,"02/2024
03/2025",36.0,FlashReport_February 2026
1183,Karnataka,"02/2024
08/2024",24.0,FlashReport_February 2026
1184,Karnataka,"03/2018
01/2021",99.0,FlashReport_February 2026
1185,Karnataka,"12/2020
11/2021",93.0,FlashReport_February 2026
1186,Karnataka,"02/2018
05/2019",99.0,FlashReport_February 2026
1187,Karnataka,"11/2024
01/2026",0.0,FlashReport_February 2026
1188,Karnataka,"03/2023
05/2023",87.0,FlashReport_February 2026
1189,Karnataka,"03/2018
12/2020",82.0,FlashReport_February 2026
1190,Karnataka,"02/2023
04/2025",15.0,FlashReport_February 2026
1191,Karnataka,"02/2023
12/2025",1.0,FlashReport_February 2026
1192,Karnataka,"02/2023
04/2025",11.0,FlashReport_February 2026
1193,Karnataka,"01/2023
04/2025",11.0,FlashReport_February 2026
1194,Karnataka,"01/2019
10/2021",80.0,FlashReport_February 2026
1195,Karnataka,"03/2021
10/2022",64.0,FlashReport_February 2026
1196,Karnataka,"NA
06/2011",100.0,FlashReport_February 2026
1197,Karnataka,"03/2021
08/2022",59.0,FlashReport_February 2026
1198,Karnataka,"02/2022
02/2023",93.0,FlashReport_February 2026
1199,Karnataka,"02/2020
02/2021",99.0,FlashReport_February 2026
1200,Karnataka,"NA
03/2014",97.0,FlashReport_February 2026
1201,Karnataka,"03/2023
11/2024",27.0,FlashReport_February 2026
1202,Karnataka,"02/2024
09/2025",5.0,FlashReport_February 2026
1203,Karnataka,"02/2024
06/2025",21.0,FlashReport_February 2026
1204,Karnataka,"03/2018
12/2018",100.0,FlashReport_February 2026
1205,Karnataka,"NA
03/2017",97.0,FlashReport_February 2026
1206,Karnataka,"02/2018
12/2019",99.0,FlashReport_February 2026
1207,Karnataka,"NA
03/2017",99.0,FlashReport_February 2026
1208,Karnataka,"09/2021
03/2022",19.0,FlashReport_February 2026
1209,Karnataka,"NA
02/2016",100.0,FlashReport_February 2026
1210,Karnataka,"NA
08/2017",99.0,FlashReport_February 2026
1211,Karnataka,"03/2018
03/2019",71.0,FlashReport_February 2026
1212,Karnataka,"03/2022
04/2023",73.0,FlashReport_February 2026
1213,Karnataka,"04/2020
01/2021",82.0,FlashReport_February 2026
1214,Karnataka,"02/2018
10/2019",100.0,FlashReport_February 2026
1215,Karnataka,"02/2018
10/2019",99.0,FlashReport_February 2026
1216,Karnataka,"02/2018
03/2021",96.0,FlashReport_February 2026
1217,Kerala,"02/2017
08/2017",98.0,FlashReport_February 2026
1218,Kerala,"06/2020
10/2021",82.0,FlashReport_February 2026
1219,Kerala,"08/2020
11/2021",82.0,FlashReport_February 2026
1220,Kerala,"10/2020
10/2021",60.0,FlashReport_February 2026
1221,Kerala,"03/2020
12/2020",100.0,FlashReport_February 2026
1222,Kerala,"01/2021
01/2022",99.0,FlashReport_February 2026
1223,Kerala,"02/2021
01/2022",98.0,FlashReport_February 2026
1224,Kerala,"06/2021
09/2022",88.0,FlashReport_February 2026
1225,Kerala,"06/2021
09/2022",84.0,FlashReport_February 2026
1226,Kerala,"11/2021
10/2022",64.0,FlashReport_February 2026
1227,Kerala,"08/2022
02/2023",83.0,FlashReport_February 2026
1228,Kerala,"09/2021
03/2022",73.0,FlashReport_February 2026
1229,Kerala,"12/2021
08/2022",71.0,FlashReport_February 2026
1230,Kerala,"06/2021
04/2022",73.0,FlashReport_February 2026
1231,Kerala,"09/2022
06/2023",52.0,FlashReport_February 2026
1232,Kerala,"02/2018
02/2021",98.0,FlashReport_February 2026
1233,Kerala,"06/2020
10/2021",83.0,FlashReport_February 2026
1234,Kerala,"06/2021
10/2022",81.0,FlashReport_February 2026
1235,Kerala,"12/2021
07/2022",44.0,FlashReport_February 2026
1236,Ladakh,"03/2021
07/2021",82.0,FlashReport_February 2026
1237,Ladakh,"03/2021
07/2021",75.0,FlashReport_February 2026
1238,Madhya Pradesh,"03/2024
02/2025",50.0,FlashReport_February 2026
1239,Madhya Pradesh,"03/2015
08/2015",94.0,FlashReport_February 2026
1240,Madhya Pradesh,"03/2022
01/2024",29.0,FlashReport_February 2026
1241,Madhya Pradesh,"01/2022
09/2023",93.0,FlashReport_February 2026
1242,Madhya Pradesh,"03/2022
05/2023",88.0,FlashReport_February 2026
1243,Madhya Pradesh,"03/2022
02/2023",64.0,FlashReport_February 2026
1244,Madhya Pradesh,"02/2024
12/2025",0.0,FlashReport_February 2026
1245,Madhya Pradesh,"03/2023
11/2024",49.0,FlashReport_February 2026
1246,Madhya Pradesh,"03/2023
11/2024",25.0,FlashReport_February 2026
1247,Madhya Pradesh,"03/2022
01/2024",97.0,FlashReport_February 2026
1248,Madhya Pradesh,"03/2022
06/2023",67.0,FlashReport_February 2026
1268,Madhya Pradesh,"03/2021
04/2022",93.0,FlashReport_February 2026
1269,Madhya Pradesh,"08/2022
08/2024",81.0,FlashReport_February 2026
1270,Madhya Pradesh,"10/2024
10/2025",10.0,FlashReport_February 2026
1271,Madhya Pradesh,"03/2025
12/2025",0.0,FlashReport_February 2026
1272,Madhya Pradesh,"10/2024
11/2025",11.0,FlashReport_February 2026
1273,Madhya Pradesh,"11/2022
03/2024",72.0,FlashReport_February 2026
1274,Madhya Pradesh,"09/2022
03/2024",69.0,FlashReport_February 2026
1275,Madhya Pradesh,"08/2022
03/2024",72.0,FlashReport_February 2026
1276,Madhya Pradesh,"09/2022
03/2023",85.0,FlashReport_February 2026
1277,Madhya Pradesh,"10/2024
10/2025",11.0,FlashReport_February 2026
1278,Madhya Pradesh,"01/2022
11/2022",84.0,FlashReport_February 2026
1279,Madhya Pradesh,"01/2020
10/2021",96.0,FlashReport_February 2026
1280,Madhya Pradesh,"01/2021
07/2021",57.0,FlashReport_February 2026
1281,Madhya Pradesh,"12/2021
09/2022",99.0,FlashReport_February 2026
1282,Madhya Pradesh,"10/2022
09/2023",68.0,FlashReport_February 2026
1283,Madhya Pradesh,"08/2017
02/2018",100.0,FlashReport_February 2026
1284,Madhya Pradesh,"08/2023
04/2024",73.0,FlashReport_February 2026
1285,Madhya Pradesh,"02/2024
01/2026",0.0,FlashReport_February 2026
1286,Madhya Pradesh,"03/2024
03/2026",0.0,FlashReport_February 2026
1287,Madhya Pradesh,"03/2024
08/2025",10.0,FlashReport_February 2026
1288,Madhya Pradesh,"02/2024
03/2025",31.0,FlashReport_February 2026
1289,Madhya Pradesh,"03/2025
01/2026",0.0,FlashReport_February 2026
1290,Madhya Pradesh,"02/2024
08/2025",5.0,FlashReport_February 2026
1291,Madhya Pradesh,"03/2023
01/2026",0.0,FlashReport_February 2026
1292,Madhya Pradesh,"01/2020
08/2021",99.0,FlashReport_February 2026
1293,Madhya Pradesh,"01/2023
03/2024",40.0,FlashReport_February 2026
1294,Maharashtra,"03/2024
10/2025",0.0,FlashReport_February 2026
1295,Maharashtra,"03/2021
03/2022",95.0,FlashReport_February 2026
1296,Maharashtra,"03/2022
07/2023",66.0,FlashReport_February 2026
1297,Maharashtra,"02/2023
03/2024",88.0,FlashReport_February 2026
1298,Maharashtra,"07/2017
09/2017",95.0,FlashReport_February 2026
1299,Maharashtra,"12/2024
09/2025",1.0,FlashReport_February 2026
1300,Maharashtra,"09/2018
10/2018",98.0,FlashReport_February 2026
1301,Maharashtra,"03/2025
10/2025",27.0,FlashReport_February 2026
1302,Maharashtra,"03/2016
02/2018",97.0,FlashReport_February 2026
1303,Maharashtra,"03/2016
11/2017",0.0,FlashReport_February 2026
1304,Maharashtra,"03/2016
11/2017",90.0,FlashReport_February 2026
1305,Maharashtra,"06/2022
01/2023",77.0,FlashReport_February 2026
1320,Maharashtra,"01/2017
06/2017",91.0,FlashReport_February 2026
1321,Maharashtra,"03/2021
11/2022",93.0,FlashReport_February 2026
1322,Maharashtra,"03/2024
10/2024",100.0,FlashReport_February 2026
1323,Maharashtra,"03/2021
06/2022",60.0,FlashReport_February 2026
1324,Maharashtra,"02/2023
09/2024",55.0,FlashReport_February 2026
1325,Maharashtra,"03/2021
02/2022",87.0,FlashReport_February 2026
1326,Maharashtra,"03/2024
05/2025",35.0,FlashReport_February 2026
1327,Maharashtra,"03/2024
05/2025",31.0,FlashReport_February 2026
1328,Maharashtra,"03/2024
04/2025",36.0,FlashReport_February 2026
1329,Maharashtra,"03/2024
05/2025",6.0,FlashReport_February 2026
1330,Maharashtra,"01/2017
08/2017",96.0,FlashReport_February 2026
1331,Maharashtra,"01/2017
08/2017",98.0,FlashReport_February 2026
1332,Maharashtra,"03/2022
01/2023",62.0,FlashReport_February 2026
1333,Maharashtra,"03/2024
01/2025",48.0,FlashReport_February 2026
1334,Maharashtra,"03/2017
06/2017",80.0,FlashReport_February 2026
1335,Maharashtra,"02/2017
06/2017",83.0,FlashReport_February 2026
1353,Maharashtra,"01/2025
06/2025",13.0,FlashReport_February 2026
1354,Maharashtra,"11/2017
02/2019",86.0,FlashReport_February 2026
1355,Maharashtra,"12/2021
01/2023",45.0,FlashReport_February 2026
1356,Maharashtra,"12/2021
12/2022",73.0,FlashReport_February 2026
1357,Maharashtra,"12/2015
03/2016",97.0,FlashReport_February 2026
1358,Maharashtra,"03/2023
07/2023",75.0,FlashReport_February 2026
1359,Maharashtra,"02/2024
10/2024",21.0,FlashReport_February 2026
1360,Maharashtra,"03/2025
06/2025",75.0,FlashReport_February 2026
1361,Maharashtra,"02/2021
11/2021",99.0,FlashReport_February 2026
1362,Maharashtra,"12/2022
03/2023",96.0,FlashReport_February 2026
1363,Maharashtra,"12/2023
10/2024",55.0,FlashReport_February 2026
1364,Maharashtra,"01/2025
07/2025",10.0,FlashReport_February 2026
1365,Maharashtra,"08/2022
11/2023",48.0,FlashReport_February 2026
1366,Maharashtra,"06/2016
01/2019",98.0,FlashReport_February 2026
1367,Maharashtra,"03/2018
03/2019",100.0,FlashReport_February 2026
1368,Maharashtra,"03/2018
03/2019",96.0,FlashReport_February 2026
1369,Maharashtra,"02/2021
01/2022",97.0,FlashReport_February 2026
1370,Maharashtra,"03/2025
06/2025",17.0,FlashReport_February 2026
1371,Maharashtra,"10/2024
04/2025",26.0,FlashReport_February 2026
1372,Maharashtra,"02/2022
05/2023",75.0,FlashReport_February 2026
1373,Maharashtra,"02/2022
05/2023",64.0,FlashReport_February 2026
1374,Maharashtra,"02/2021
10/2021",81.0,FlashReport_February 2026
1375,Maharashtra,"02/2025
07/2025",22.0,FlashReport_February 2026
1376,Maharashtra,"03/2025
01/2026",0.0,FlashReport_February 2026
1377,Maharashtra,"02/2021
03/2022",0.0,FlashReport_February 2026
1378,Maharashtra,"NA
10/2010",99.0,FlashReport_February 2026
1379,Maharashtra,"06/2022
11/2022",81.0,FlashReport_February 2026
1380,Maharashtra,"02/2022
11/2022",85.0,FlashReport_February 2026
1381,Maharashtra,"01/2021
09/2021",86.0,FlashReport_February 2026
1382,Maharashtra,"08/2020
03/2022",99.0,FlashReport_February 2026
1383,Maharashtra,"03/2018
01/2019",76.0,FlashReport_February 2026
1384,Maharashtra,"10/2021
05/2022",98.0,FlashReport_February 2026
1385,Maharashtra,"01/2021
09/2021",97.0,FlashReport_February 2026
1386,Manipur,"03/2021
07/2021",81.0,FlashReport_February 2026
1387,Manipur,"09/2020
12/2024",47.0,FlashReport_February 2026
1388,Manipur,"09/2020
10/2020",83.0,FlashReport_February 2026
1389,Manipur,"09/2020
02/2025",40.0,FlashReport_February 2026
1390,Manipur,"03/2020
07/2020",92.0,FlashReport_February 2026
1391,Manipur,"03/2020
07/2020",85.0,FlashReport_February 2026
1392,Manipur,"03/2023
12/2024",21.0,FlashReport_February 2026
1393,Manipur,"03/2023
12/2024",20.0,FlashReport_February 2026
1394,Manipur,"03/2023
05/2025",11.0,FlashReport_February 2026
1395,Manipur,"01/2023
12/2023",85.0,FlashReport_February 2026
1396,Manipur,"12/2021
02/2023",91.0,FlashReport_February 2026
1397,Manipur,"12/2021
11/2022",86.0,FlashReport_February 2026
1398,Manipur,"09/2021
06/2022",82.0,FlashReport_February 2026
1399,Manipur,"03/2021
09/2021",86.0,FlashReport_February 2026
1400,Manipur,"03/2021
03/2025",69.0,FlashReport_February 2026
1401,Manipur,"04/2020
07/2020",93.0,FlashReport_February 2026
1402,Manipur,"04/2020
07/2020",96.0,FlashReport_February 2026
1403,Manipur,"06/2020
11/2025",0.0,FlashReport_February 2026
1404,Manipur,"04/2020
08/2025",19.0,FlashReport_February 2026
1405,Manipur,"07/2021
09/2021",93.0,FlashReport_February 2026
1437,Mizoram,"03/2021
06/2021",64.0,FlashReport_February 2026
1438,Mizoram,"06/2021
07/2021",61.0,FlashReport_February 2026
1439,Mizoram,"09/2019
10/2019",95.0,FlashReport_February 2026
1440,Mizoram,"09/2019
10/2019",97.0,FlashReport_February 2026
1441,Mizoram,"09/2019
12/2019",98.0,FlashReport_February 2026
1442,Mizoram,"09/2019
10/2020",100.0,FlashReport_February 2026
1443,Mizoram,"09/2019
03/2020",99.0,FlashReport_February 2026
1444,Mizoram,"09/2019
10/2019",99.0,FlashReport_February 2026
1445,Mizoram,"02/2023
12/2024",4.0,FlashReport_February 2026
1446,Mizoram,"12/2021
11/2023",75.0,FlashReport_February 2026
1447,"Multi-States
(Andhra Pradesh,
Karnataka)","03/2018
10/2019",100.0,FlashReport_February 2026
1448,"Multi-States
(Andhra Pradesh,
Karnataka)","12/2020
10/2022",98.0,FlashReport_February 2026
1449,"Multi-States
(Andhra Pradesh,
Odisha)","02/2021
03/2022",93.0,FlashReport_February 2026
1450,"Multi-States
(Andhra Pradesh,
Tamil Nadu)","10/2020
05/2022",97.0,FlashReport_February 2026
1451,"Multi-States
(Andhra Pradesh,
Tamil Nadu)","03/2021
01/2023",98.0,FlashReport_February 2026
1452,"Multi-States
(Andhra Pradesh,
Tamil Nadu)","12/2024
09/2025",5.0,FlashReport_February 2026
1453,"Multi-States
(Andhra Pradesh,
Tamil Nadu)","02/2021
12/2022",99.0,FlashReport_February 2026
1454,"Multi-States
(Andhra Pradesh,
Tamil Nadu)","02/2021
10/2023",95.0,FlashReport_February 2026
1455,"Multi-States
(Andhra Pradesh,
Tamil Nadu)","12/2017
03/2018",100.0,FlashReport_February 2026
1456,"Multi-States
(Andhra Pradesh,
Telangana)","01/2021
09/2022",98.0,FlashReport_February 2026
1457,"Multi-States
(Andhra Pradesh,
Telangana)","03/2023
05/2025",1.0,FlashReport_February 2026
1458,"Multi-States
(Andhra Pradesh,
Telangana)","03/2023
03/2025",11.0,FlashReport_February 2026
1459,"Multi-States
(Andhra Pradesh,
Telangana)","01/2022
01/2023",63.0,FlashReport_February 2026
1460,"Multi-States
(Arunachal
Pradesh, Assam)","03/2023
09/2024",93.0,FlashReport_February 2026
1461,"Multi-States
(Bihar, Jharkhand)","02/2021
12/2024",18.0,FlashReport_February 2026
1462,"Multi-States
(Bihar, Jharkhand)","06/2021
03/2022",96.0,FlashReport_February 2026
1463,"Multi-States
(Bihar, Jharkhand)","03/2023
07/2025",12.0,FlashReport_February 2026
1464,"Multi-States
(Bihar, Jharkhand)","09/2020
03/2022",91.0,FlashReport_February 2026
1465,"Multi-States
(Bihar, Jharkhand)","10/2016
11/2020",82.0,FlashReport_February 2026
1466,"Multi-States
(Bihar, Jharkhand)","12/2017
06/2019",78.0,FlashReport_February 2026
1467,"Multi-States
(Bihar, Uttar
Pradesh)","NA
09/2011",95.0,FlashReport_February 2026
1468,"Multi-States
(Bihar, Uttar
Pradesh)","03/2023
11/2024",34.0,FlashReport_February 2026
1469,"Multi-States
(Bihar, Uttar
Pradesh)","03/2024
08/2025",8.0,FlashReport_February 2026
1470,"Multi-States
(Bihar, Uttar
Pradesh)","10/2022
08/2023",75.0,FlashReport_February 2026
1471,"Multi-States
(Bihar, West
Bengal)","01/2025
12/2025",2.0,FlashReport_February 2026
1472,"Multi-States
(Chhattisgarh,
Odisha)","02/2021
03/2022",99.0,FlashReport_February 2026
1473,"Multi-States
(Dadra & Nagar
Haveli and Daman
& Diu, Gujarat,
Maharashtra)","10/2020
03/2022",36.0,FlashReport_February 2026
1474,"Multi-States (Delhi,
Haryana)","01/2018
11/2018",100.0,FlashReport_February 2026
1475,"Multi-States (Delhi,
Uttar Pradesh)","09/2020
06/2022",100.0,FlashReport_February 2026
1476,"Multi-States (Goa,
Karnataka)","01/2022
11/2022",80.0,FlashReport_February 2026
1477,"Multi-States
(Gujarat,
Maharashtra)","12/2019
09/2020",97.0,FlashReport_February 2026
1478,"Multi-States
(Haryana, Punjab)","01/2021
05/2022",98.0,FlashReport_February 2026
1479,"Multi-States
(Haryana, Punjab)","11/2021
12/2022",98.0,FlashReport_February 2026
1480,"Multi-States
(Haryana, Punjab)","10/2022
06/2023",100.0,FlashReport_February 2026
1481,"Multi-States
(Haryana, Punjab)","02/2023
12/2023",63.0,FlashReport_February 2026
1482,"Multi-States
(Haryana, Punjab)","03/2022
10/2023",80.0,FlashReport_February 2026
1483,"Multi-States
(Haryana, Punjab)","05/2022
05/2023",71.0,FlashReport_February 2026
1484,"Multi-States
(Haryana,
Rajasthan)","08/2022
12/2022",87.0,FlashReport_February 2026
1485,"Multi-States
(Haryana, Uttar
Pradesh)","03/2024
08/2025",2.0,FlashReport_February 2026
1486,"Multi-States
(Haryana, Uttar
Pradesh)","06/2022
05/2023",73.0,FlashReport_February 2026
1487,"Multi-States
(Haryana, Uttar
Pradesh)","07/2022
06/2023",67.0,FlashReport_February 2026
1488,"Multi-States
(Himachal
Pradesh, Punjab)","03/2023
05/2025",15.0,FlashReport_February 2026
1489,"Multi-States
(Jammu and
Kashmir, Punjab)","10/2021
09/2022",82.0,FlashReport_February 2026
1490,"Multi-States
(Jharkhand, Uttar
Pradesh)","03/2022
09/2023",92.0,FlashReport_February 2026
1491,"Multi-States
(Jharkhand, West
Bengal)","08/2010
04/2014",100.0,FlashReport_February 2026
1492,"Multi-States
(Jharkhand, West
Bengal)","03/2023
09/2025",10.0,FlashReport_February 2026
1493,"Multi-States
(Jharkhand, West
Bengal)","03/2018
12/2019",97.0,FlashReport_February 2026
1494,"Multi-States
(Jharkhand, West
Bengal)","02/2025
02/2026",0.0,FlashReport_February 2026
1495,"Multi-States
(Jharkhand, West
Bengal)","NA
12/2017",99.0,FlashReport_February 2026
1496,"Multi-States
(Karnataka,
Kerala)","05/2020
11/2021",99.0,FlashReport_February 2026
1497,"Multi-States
(Karnataka,
Maharashtra)","11/2021
10/2022",98.0,FlashReport_February 2026
1498,"Multi-States
(Karnataka,
Maharashtra)","01/2022
10/2022",78.0,FlashReport_February 2026
1499,"Multi-States
(Karnataka,
Maharashtra)","03/2023
10/2024",41.0,FlashReport_February 2026
1500,"Multi-States
(Karnataka, Tamil
Nadu)","03/2022
05/2023",75.0,FlashReport_February 2026
1501,"Multi-States
(Karnataka, Tamil
Nadu)","10/2021
10/2022",78.0,FlashReport_February 2026
1502,"Multi-States
(Karnataka,
Telangana)","03/2022
11/2022",99.0,FlashReport_February 2026
1503,"Multi-States
(Karnataka,
Telangana)","02/2022
01/2023",83.0,FlashReport_February 2026
1504,"Multi-States
(Kerala,
Puducherry)","09/2017
12/2017",100.0,FlashReport_February 2026
1505,"Multi-States
(Madhya Pradesh,
Maharashtra)","12/2022
03/2024",60.0,FlashReport_February 2026
1506,"Multi-States
(Madhya Pradesh,
Uttar Pradesh)","02/2023
03/2024",89.0,FlashReport_February 2026
1507,"Multi-States
(Madhya Pradesh,
Uttar Pradesh)","10/2024
09/2025",22.0,FlashReport_February 2026
1508,"Multi-States
(Maharashtra,
Telangana)","03/2018
04/2019",96.0,FlashReport_February 2026
1509,"Multi-States
(Maharashtra,
Telangana)","03/2022
10/2022",100.0,FlashReport_February 2026
1510,"Multi-States
(Maharashtra,
Telangana)","03/2022
03/2024",62.0,FlashReport_February 2026
1511,"Multi-States
(Puducherry, Tamil
Nadu)","03/2018
11/2021",98.0,FlashReport_February 2026
1512,"Multi-States
(Puducherry, Tamil
Nadu)","03/2018
11/2021",98.0,FlashReport_February 2026
1513,"Multi-States
(Puducherry, Tamil
Nadu)","03/2018
10/2020",78.0,FlashReport_February 2026
1514,"Multi-States
(Rajasthan, Uttar
Pradesh)","03/2024
04/2025",90.0,FlashReport_February 2026
1515,"Multi-States (Uttar
Pradesh,
Uttarakhand)","04/2022
11/2022",99.0,FlashReport_February 2026
1516,"Multi-States (Uttar
Pradesh,
Uttarakhand)","01/2023
03/2024",30.0,FlashReport_February 2026
1517,"Multi-States (Uttar
Pradesh,
Uttarakhand)","01/2015
10/2017",98.0,FlashReport_February 2026
1518,"Multi-States (Uttar
Pradesh,
Uttarakhand)","04/2025
10/2025",6.0,FlashReport_February 2026
1519,"Multi-States (Uttar
Pradesh,
Uttarakhand)","03/2023
01/2024",96.0,FlashReport_February 2026
1520,"Multi-States (Uttar
Pradesh,
Uttarakhand)","02/2023
03/2024",39.0,FlashReport_February 2026
1521,"Multi-States (Uttar
Pradesh,
Uttarakhand)","11/2021
02/2023",90.0,FlashReport_February 2026
1522,"Multi-States (Uttar
Pradesh,
Uttarakhand)","NA
01/2018",97.0,FlashReport_February 2026
1523,Nagaland,"06/2020
06/2024",42.0,FlashReport_February 2026
1524,Nagaland,"02/2021
06/2023",0.0,FlashReport_February 2026
1525,Nagaland,"03/2021
07/2022",94.0,FlashReport_February 2026
1526,Nagaland,"07/2020
10/2020",34.0,FlashReport_February 2026
1527,Nagaland,"07/2020
06/2023",35.0,FlashReport_February 2026
1528,Nagaland,"07/2020
10/2020",69.0,FlashReport_February 2026
1529,Nagaland,"07/2020
11/2023",24.0,FlashReport_February 2026
1530,Nagaland,"03/2020
11/2023",93.0,FlashReport_February 2026
1531,Nagaland,"03/2020
01/2024",29.0,FlashReport_February 2026
1532,Nagaland,"03/2016
09/2023",82.0,FlashReport_February 2026
1533,Nagaland,"02/2017
09/2017",0.0,FlashReport_February 2026
1534,Nagaland,"12/2022
08/2023",78.0,FlashReport_February 2026
1535,Nagaland,"12/2022
08/2023",85.0,FlashReport_February 2026
1536,Nagaland,"12/2022
08/2023",49.0,FlashReport_February 2026
1537,Nagaland,"02/2021
06/2023",86.0,FlashReport_February 2026
1538,Nagaland,"01/2021
09/2023",89.0,FlashReport_February 2026
1539,Nagaland,"03/2021
09/2023",95.0,FlashReport_February 2026
1540,Nagaland,"03/2018
08/2023",99.0,FlashReport_February 2026
1541,Nagaland,"03/2018
09/2023",70.0,FlashReport_February 2026
1542,Odisha,"03/2023
04/2025",0.0,FlashReport_February 2026
1543,Odisha,"03/2022
02/2024",56.0,FlashReport_February 2026
1544,Odisha,"03/2023
12/2024",12.0,FlashReport_February 2026
1545,Odisha,"02/2022
04/2023",40.0,FlashReport_February 2026
1546,Odisha,"12/2021
05/2023",70.0,FlashReport_February 2026
1584,Punjab,"12/2020
03/2023",31.0,FlashReport_February 2026
1585,Punjab,"12/2020
07/2022",71.0,FlashReport_February 2026
1586,Punjab,"12/2020
07/2022",62.0,FlashReport_February 2026
1587,Punjab,"03/2021
11/2022",43.0,FlashReport_February 2026
1588,Punjab,"03/2021
01/2024",26.0,FlashReport_February 2026
1589,Punjab,"12/2021
04/2023",29.0,FlashReport_February 2026
1590,Punjab,"11/2024
07/2025",19.0,FlashReport_February 2026
1591,Punjab,"03/2021
01/2023",42.0,FlashReport_February 2026
1592,Punjab,"05/2020
08/2023",99.0,FlashReport_February 2026
1593,Punjab,"03/2021
11/2022",68.0,FlashReport_February 2026
1594,Punjab,"03/2021
06/2024",70.0,FlashReport_February 2026
1595,Punjab,"06/2021
09/2023",81.0,FlashReport_February 2026
1596,Punjab,"05/2020
12/2022",76.0,FlashReport_February 2026
1597,Punjab,"03/2022
05/2023",80.0,FlashReport_February 2026
1598,Punjab,"07/2021
02/2023",77.0,FlashReport_February 2026
1599,Punjab,"11/2022
03/2025",11.0,FlashReport_February 2026
1600,Punjab,"03/2021
10/2022",98.0,FlashReport_February 2026
1601,Punjab,"03/2023
04/2024",56.0,FlashReport_February 2026
1602,Punjab,"12/2020
03/2022",80.0,FlashReport_February 2026
1603,Punjab,"02/2021
08/2022",80.0,FlashReport_February 2026
1604,Punjab,"08/2021
06/2023",64.0,FlashReport_February 2026
1605,Punjab,"10/2021
06/2023",78.0,FlashReport_February 2026
1606,Punjab,"12/2020
06/2022",61.0,FlashReport_February 2026
1607,Punjab,"03/2021
06/2024",63.0,FlashReport_February 2026
1608,Punjab,"07/2021
09/2025",12.0,FlashReport_February 2026
1609,Punjab,"03/2021
11/2022",30.0,FlashReport_February 2026
1610,Rajasthan,"12/2020
10/2021",98.0,FlashReport_February 2026
1611,Rajasthan,"03/2022
02/2023",100.0,FlashReport_February 2026
1612,Rajasthan,"12/2021
09/2022",97.0,FlashReport_February 2026
1613,Rajasthan,"01/2022
12/2022",96.0,FlashReport_February 2026
1614,Rajasthan,"12/2021
05/2022",85.0,FlashReport_February 2026
1615,Rajasthan,"03/2022
10/2024",66.0,FlashReport_February 2026
1616,Rajasthan,"02/2023
10/2024",43.0,FlashReport_February 2026
1617,Rajasthan,"02/2022
09/2023",0.0,FlashReport_February 2026
1618,Rajasthan,"02/2024
11/2024",12.0,FlashReport_February 2026
1638,Sikkim,"10/2020
05/2021",76.0,FlashReport_February 2026
